Top % targeted,Cumulative incremental conversions,Random baseline,Qini (over random)
10,1379.759152612094,277.1100175446104,1102.6491350674837
20,1713.0683076545333,554.2200350892208,1158.8482725653125
30,1870.6085860005624,831.3300526338312,1039.2785333667312
40,1919.777633647564,1108.4400701784416,811.3375634691224
50,2003.4734190741515,1385.550087723052,617.9233313510995
60,2009.5640557241113,1662.6601052676624,346.9039504564489
70,2017.616119646777,1939.7701228122726,77.84599683450438
80,1998.9866802790739,2216.880140356883,-217.89346007780932
90,2018.3933094422596,2493.9901579014936,-475.596848459234
100,2771.100175446104,2771.100175446104,0.0
